alpha,beta,Fx,Fy,Fz,Mx,My,Mz,status,stage,score,wall_seconds,timestamp,case_dir,study_macro_file,macro_file,output_file,data_file,stdout_file,force_plot,completion_file,run_script,console_log,n_average,n_samples
-20.0,-30.0,-8.9816,69.2378,428.6973,-132.3755,-210.7971,38.3464,ok,anchor_mirror,,1840.3519389629364,1778854261.9828763,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\run_console.log,1.0,1.0
-20.0,-20.0,-19.2207,47.5827,430.3371,-124.7122,-200.6169,28.4734,ok,anchor_mirror,,1790.4388823509216,1778852421.598644,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\run_console.log,1.0,1.0
-20.0,-10.0,-28.5243,22.924,420.3172,-58.5688,-183.0458,14.1297,ok,anchor_mirror,,1874.9842464923856,1778850631.1303544,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\run_console.log,1.0,1.0
-20.0,-5.0,-31.1115,10.9493,413.4461,-21.6692,-178.0233,6.2742,ok,anchor_mirror,,1940.48302268982,1778848756.1179638,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\run_console.log,1.0,1.0
-20.0,0.0,-29.8671,-1.1209,417.7483,-7.8827,-176.1228,0.2561,ok,anchor,,1945.5250539779663,1778846815.6042373,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0001_anchor_a-20.000_b+00.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0001_anchor_a-20.000_b+00.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0001_anchor_a-20.000_b+00.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0001_anchor_a-20.000_b+00.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0001_anchor_a-20.000_b+00.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0001_anchor_a-20.000_b+00.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0001_anchor_a-20.000_b+00.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0001_anchor_a-20.000_b+00.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0001_anchor_a-20.000_b+00.000\run_console.log,1.0,1.0
-20.0,5.0,-31.1115,-10.9493,413.4461,21.6692,-178.0233,-6.2742,ok,anchor,,1940.48302268982,1778848756.1179638,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0002_anchor_a-20.000_b+05.000\run_console.log,1.0,1.0
-20.0,10.0,-28.5243,-22.924,420.3172,58.5688,-183.0458,-14.1297,ok,anchor,,1874.9842464923856,1778850631.1303544,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0003_anchor_a-20.000_b+10.000\run_console.log,1.0,1.0
-20.0,20.0,-19.2207,-47.5827,430.3371,124.7122,-200.6169,-28.4734,ok,anchor,,1790.4388823509216,1778852421.598644,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0004_anchor_a-20.000_b+20.000\run_console.log,1.0,1.0
-20.0,30.0,-8.9816,-69.2378,428.6973,132.3755,-210.7971,-38.3464,ok,anchor,,1840.3519389629364,1778854261.9828763,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0005_anchor_a-20.000_b+30.000\run_console.log,1.0,1.0
-19.276,-18.388,-20.743,43.9601,409.3504,-115.3739,-189.8314,25.8704,ok,doe_mirror,,1660.4766035079956,1778993328.430644,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388,F:\Project_Spearhead\AeroDB\v10\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\database.java,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\output.out,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\force.png,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\output.dat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\run.bat,F:\Project_Spearhead\AeroDB\v10\runs\v10\cases\0071_doe_a-19.276_b+18.388\run_console.log,1.0,1.0
