Alpha(deg),Beta(deg),Fx,Fz,L(N),D(N)
-4.0,0.0,-19.147830802145705,-16.157137033375122,17.45346421622352,17.974122743429422
-3.0,0.0,-21.245262051537267,-70.17689314106303,71.19260925308035,17.543371349569245
-2.0,0.0,-21.91444231809588,-124.5698329132906,125.25875134426161,17.553668158955627
-1.0,0.0,-21.16120265670881,-179.0787044790364,179.42074383442366,18.03262536821728
0.0,0.0,-19.060823060364825,-233.5734545075142,233.5734545075142,19.060823060364825
1.0,0.0,-15.670358605084054,-287.9905290784558,287.67318125856974,20.69409969713294
2.0,0.0,-10.988143467832929,-342.2804506129337,341.6884619338063,22.92686524521865
3.0,0.0,-4.9731267395008345,-396.3773660081996,395.5738712605827,25.711099725241716
4.0,0.0,2.396619196711768,-450.179409626262,449.2499749144205,29.012147014937938
5.0,0.0,11.090932917734255,-503.5326234634952,502.58316830677074,32.83703122609973
6.0,0.0,21.01817984919915,-556.2061822917549,555.3562246686673,37.23633743410868
7.0,0.0,32.05207007921035,-607.8535650035303,607.2288814410414,42.26555604420017
8.0,0.0,44.07151509923972,-657.9615765973203,657.6919091835568,47.927938783783624
9.0,0.0,56.98691874940113,-705.7941003021199,706.0193218780927,54.125207294087225
10.0,0.0,70.71540070788893,-750.3583883790675,751.2383588793629,60.657291864625805
11.0,0.0,85.06693836145016,-790.434734752735,792.1437594230355,67.31803854062866
12.0,0.0,99.5668527050061,-824.6479410382897,827.3285176719764,74.06286966463678
13.0,0.0,113.2656931728164,-851.5796072628373,855.2329141986896,81.20102971676803
14.0,0.0,124.69176780686443,-869.9518428749634,874.2762240410144,89.472509503936
15.0,0.0,132.1389964662904,-878.9008165785249,883.1530863659592,99.8398007399697
16.0,0.0,134.16311836646855,-878.300351832411,881.256852940342,113.12651989890085
17.0,0.0,130.18467716357694,-869.0664817012325,869.1547256900451,129.5942228473395
18.0,0.0,120.92183454669144,-853.2533244206916,848.8590361067247,148.6662790449187
19.0,0.0,108.15927992906168,-833.7039516202699,823.495789961439,169.1608485962757
20.0,0.0,94.15468750747806,-813.482019372178,796.6258504621462,189.75077179534645
