alpha,beta,Fx,Fy,Fz,Mx,My,Mz,status,stage,score,wall_seconds,timestamp,case_dir,study_macro_file,macro_file,output_file,data_file,stdout_file,force_plot,completion_file,run_script,console_log,n_average,n_samples
-90.0,-90.0,8.7625,105.3064,-37.3158,3.6727,-14.0743,2.6213,ok,anchor_mirror,,160.17673349380493,1779062787.2668188,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0008_anchor_a-90.000_b+90.000\run_console.log,1.0,1.0
-90.0,-60.0,75.7145,125.3003,595.0034,-281.8423,-218.429,87.1038,ok,anchor_mirror,,164.15364909172058,1779062627.0636451,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0007_anchor_a-90.000_b+60.000\run_console.log,1.0,1.0
-90.0,-45.0,95.0385,90.6037,775.2965,-327.1704,-277.0785,64.953,ok,anchor_mirror,,160.1505868434906,1779062462.8854132,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0006_anchor_a-90.000_b+45.000\run_console.log,1.0,1.0
-90.0,-30.0,114.7945,51.662,855.0428,-265.5126,-275.4953,38.0246,ok,anchor_mirror,,160.2301115989685,1779062302.7093809,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0005_anchor_a-90.000_b+30.000\run_console.log,1.0,1.0
-90.0,-20.0,114.2672,25.134,853.2656,-200.9307,-257.2397,22.4437,ok,anchor_mirror,,160.20149731636047,1779062142.4420643,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0004_anchor_a-90.000_b+20.000\run_console.log,1.0,1.0
-90.0,-10.0,115.518,5.4191,861.6906,-125.5474,-252.5913,9.0747,ok,anchor_mirror,,164.1948459148407,1779061982.2085176,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\run_console.log,1.0,1.0
-90.0,-5.0,115.01,2.8952,854.0021,-62.142,-244.6001,4.8557,ok,anchor_mirror,,164.14586424827576,1779061817.9889605,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\run_console.log,1.0,1.0
-90.0,0.0,114.8894,-0.0098,850.514,-0.5173,-241.9201,0.7107,ok,anchor,,170.15639233589172,1779061653.8082528,F:\Project_Spearhead\AeroDB\v13\runs\cases\0001_anchor_a-90.000_b+00.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0001_anchor_a-90.000_b+00.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0001_anchor_a-90.000_b+00.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0001_anchor_a-90.000_b+00.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0001_anchor_a-90.000_b+00.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0001_anchor_a-90.000_b+00.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0001_anchor_a-90.000_b+00.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0001_anchor_a-90.000_b+00.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0001_anchor_a-90.000_b+00.000\run_console.log,1.0,1.0
-90.0,5.0,115.01,-2.8952,854.0021,62.142,-244.6001,-4.8557,ok,anchor,,164.14586424827576,1779061817.9889605,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0002_anchor_a-90.000_b+05.000\run_console.log,1.0,1.0
-90.0,10.0,115.518,-5.4191,861.6906,125.5474,-252.5913,-9.0747,ok,anchor,,164.1948459148407,1779061982.2085176,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000,F:\Project_Spearhead\AeroDB\v13\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\database.java,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\output.out,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\force.png,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\output.dat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\run_gpu.bat,F:\Project_Spearhead\AeroDB\v13\runs\cases\0003_anchor_a-90.000_b+10.000\run_console.log,1.0,1.0
