Alpha(deg),Beta(deg),Fx,Fy,Fz,Mx,My,Mz
-90.0,-90.0,8.847212518412753,105.18745305197396,-38.35446639746142,3.850925106097663,-13.054544543507037,2.572367665086915
-90.0,-89.0,10.042377614599282,105.956392232683,-27.227557800537284,-0.9973863114064296,-12.59758015616874,3.4653899777081456
-90.0,-88.0,11.3857771340808,106.74387356201773,-14.653893663212711,-6.713721494006647,-12.8779666177208,4.788487781501143
-90.0,-87.0,12.873070387762986,107.5662133701596,-0.5686267837097887,-13.354558104053812,-13.979069179548723,6.573786133715931
-90.0,-86.0,14.498974228549384,108.44238812940677,15.0669277326286,-20.95766827927257,-15.971746283066402,8.837494009921617
-90.0,-85.0,16.257963103505126,109.3925499832442,32.25417629175283,-29.535220112326463,-18.90579354519563,11.57297347069921
-90.0,-84.0,18.14476785624838,110.43528066129574,50.94693172086119,-39.06792335454799,-22.801701364076045,14.743950122143724
-90.0,-83.0,20.154650819210183,111.583533120504,71.04312977966558,-49.50112350409663,-27.643556944983523,18.279231036176032
-90.0,-82.0,22.283246681788185,112.84103201804082,92.38756944282127,-60.74761345308575,-33.37956070332738,22.080443984381887
-90.0,-81.0,24.525960104511675,114.20010664325396,114.78684580756207,-72.69761957196711,-39.93107413624672,26.044584189884343
-90.0,-80.0,26.87720896654888,115.64024489392942,138.02609348842705,-85.22999059491117,-47.20277636488225,30.08784087965229
-90.0,-79.0,29.329654849816954,117.12897292112548,161.8851681209352,-98.21968468463616,-55.091336688651815,34.158500622213786
-90.0,-78.0,31.873496298923182,118.62632652826356,186.1538577699896,-111.53835292192196,-63.49168293203216,38.23129155543781
-90.0,-77.0,34.49577760821725,120.090478459584,210.64570417834685,-125.05198966054832,-72.30202096944012,42.29595831998852
-90.0,-76.0,37.17978320156469,121.48340384856908,235.20959666785583,-138.6176132864057,-81.42788822808669,46.34520590133936
-90.0,-75.0,39.90524062368029,122.7749254062799,259.73308911048264,-152.08521079164444,-90.78370094545576,50.36595310607571
-90.0,-74.0,42.64957624949656,123.94432525743454,284.1357218798784,-165.30711956903772,-100.29145009091118,54.33614857473235
-90.0,-73.0,45.38939767797645,124.98077015853237,308.3600474860689,-178.14756579083934,-109.87875114815076,58.224621336498814
-90.0,-72.0,48.10199403110721,125.88257541117004,332.36280098219527,-190.49042785398743,-119.4770563047677,61.993577790658335
-90.0,-71.0,50.76681686162947,126.65538277451496,356.10737099301,-202.2445703923538,-129.02047379206712,65.60302309837797
-90.0,-70.0,53.366890159452254,127.30926346435308,379.5590990394817,-213.34542752853676,-138.44568965779018,69.01529467510184
-90.0,-69.0,55.89010353087208,127.85411731900705,402.68488236904943,-223.7511203572905,-147.69341413323156,72.19773130410097
-90.0,-68.0,58.33037365735149,128.2932995991397,425.4577872972435,-233.43224732293345,-156.71152870717762,75.12270283895631
-90.0,-67.0,60.68851286437455,128.61723631892733,447.8651069501879,-242.357358659786,-165.45938734703597,77.7659783904844
-90.0,-66.0,62.97138386753286,128.8010017744115,469.9090705021064,-250.48671396650508,-173.90967562836275,80.10588626298622
-90.0,-65.0,65.1889315945223,128.80746366700555,491.5958005595829,-257.7803012462076,-182.04629926153157,82.12451914616685
-90.0,-64.0,67.3508751172499,128.59324840373606,512.9227378604149,-264.2107155906431,-189.8615497935357,83.80991041837245
-90.0,-63.0,69.46358242393683,128.11626750308417,533.8665247523514,-269.7817860832397,-197.35308320221824,85.15841426797286
