case,x_ref_m,subsystem,mode,eigenvalue_text,natural_frequency_rad_s,damping_ratio,time_constant_s,classification
nominal,-0.15,longitudinal,phugoid,-0.091489+0.764909j; -0.091489-0.764909j,0.7703607304437358,0.11876130570367047,10.930270250069293,stable
nominal,-0.15,longitudinal,short_period,-11.7041+0j; +3.06093+0j,3.060934914692646,-1.0,0.32669757047101794,unstable
nominal,-0.15,lateral-directional,dutch_roll_like_lateral_directional,No clearly identifiable Dutch-roll-like lateral-directional oscillatory mode was found in this linearization.,nan,nan,nan,not identified
nominal,-0.15,lateral-directional,roll,-30.229+0j,30.22900341265614,1.0,0.03308081269994249,stable
nominal,-0.15,lateral-directional,spiral,-0.00898588+0j,0.008985875202397372,1.0,111.28576543475772,stable
nominal,-0.15,lateral-directional,lateral_residual_1,-7.26109+0j,7.261085923001386,1.0,0.1377204471348065,stable
nominal,-0.15,lateral-directional,lateral_residual_2,-1.5312+0j,1.531201600752784,1.0,0.6530818668870059,stable
case_m10,-0.1,longitudinal,phugoid,-0.32842+0.893381j; -0.32842-0.893381j,0.9518344050515003,0.34503917623313146,3.044880079699117,stable
case_m10,-0.1,longitudinal,short_period,-9.31431+0j; +1.1421+0j,1.1420990928255943,-1.0,0.8755807672747239,unstable
case_m10,-0.1,lateral-directional,dutch_roll_like_lateral_directional,No clearly identifiable Dutch-roll-like lateral-directional oscillatory mode was found in this linearization.,nan,nan,nan,not identified
case_m10,-0.1,lateral-directional,roll,-30.2281+0j,30.228082733270195,1.0,0.033081820267064486,stable
case_m10,-0.1,lateral-directional,spiral,+0.000287463+0j,0.0002874629362831633,-1.0,3478.7093352965585,unstable
case_m10,-0.1,lateral-directional,lateral_residual_1,-6.95664+0j,6.956640358196184,1.0,0.14374754889000674,stable
case_m10,-0.1,lateral-directional,lateral_residual_2,-1.84464+0j,1.8446374801830814,1.0,0.5421119383851777,stable
case_m8,-0.08,longitudinal,phugoid,-0.745163+0.728641j; -0.745163-0.728641j,1.0422024569919521,0.7149890040473594,1.3419877285614588,stable
case_m8,-0.08,longitudinal,short_period,-7.91482+0j; +0.574806+0j,0.5748063587860082,-1.0,1.7397163143984722,unstable
case_m8,-0.08,lateral-directional,dutch_roll_like_lateral_directional,No clearly identifiable Dutch-roll-like lateral-directional oscillatory mode was found in this linearization.,nan,nan,nan,not identified
case_m8,-0.08,lateral-directional,roll,-30.2275+0j,30.22754619716083,1.0,0.033082407466270836,stable
