slug,name,re,cl_0,cl_alpha_2d,cl_max,alpha_stall,cd_0,cm_ac,cd_min,alpha_minD_deg,k_drag,thickness_pct,camber_pct
a18-il,A18 (original),500000,0.5826,5.745,1.3976,9.50,0.00590,-0.1179,0.005780,-0.2500,0.000389,7.34,5.04
a18sm-il,A18 (smoothed),500000,0.4843,6.018,1.4323,11.00,0.00649,-0.1224,0.005620,0.2500,0.000293,7.28,3.84
a63a108c-il,NASA/AMES 63A108 MOD C AIRFOIL,500000,0.0083,6.338,1.2015,12.00,0.00563,0.0027,0.005470,0.5000,0.000239,7.74,0.55
ag03-il,AG03 (flat aft bottom),500000,0.1922,6.294,1.2897,11.25,0.00486,-0.0369,0.004660,-0.7500,0.000180,6.24,2.02
ag04-il,AG04,500000,0.1772,6.288,1.1850,10.50,0.00476,-0.0379,0.004590,-0.5000,0.000289,6.42,1.75
ag08-il,AG08,500000,0.1806,6.281,1.1148,9.50,0.00458,-0.0421,0.004560,-0.2500,0.000398,5.83,1.80
ag09-il,AG09,500000,0.1871,6.045,1.0815,9.00,0.00454,-0.0349,0.004540,0.2500,0.000297,4.86,1.86
ag10-il,AG10,500000,0.1559,6.272,1.1252,9.75,0.00453,-0.0291,0.004530,0.0000,0.000318,4.73,1.71
ag11-il,AG11,500000,0.2117,6.319,1.4697,13.25,0.00492,-0.0362,0.004920,0.0000,0.000171,5.81,2.29
ag12-il,AG12,500000,0.2279,6.077,1.1927,10.25,0.00481,-0.0467,0.004810,0.2500,0.000366,6.24,1.85
ag13-il,AG13,500000,0.2206,6.297,1.2109,10.25,0.00454,-0.0504,0.004440,-0.5000,0.000284,5.83,1.97
ag14-il,AG14,500000,0.2304,6.287,1.2100,10.00,0.00446,-0.0522,0.004420,-0.2500,0.000363,5.37,2.10
ag16-il,AG16,500000,0.2236,6.301,1.2111,10.25,0.00485,-0.0514,0.004850,0.0000,0.000350,7.11,1.87
ag17-il,AG17,500000,0.2339,6.299,1.2290,10.25,0.00474,-0.0533,0.004630,-0.2500,0.000317,6.49,2.02
ag18-il,AG18,500000,0.2438,6.295,1.2109,9.75,0.00464,-0.0550,0.004490,-0.5000,0.000338,5.87,2.16
ag19-il,AG19,500000,0.2511,6.289,1.2092,10.00,0.00458,-0.0563,0.004460,-0.5000,0.000366,5.40,2.27
ag24-il,AG24 Bubble Dancer DLG by Mark Drela,500000,0.2929,6.159,1.3020,11.00,0.00539,-0.0626,0.005280,0.2500,0.000256,8.41,2.22
ag25-il,AG25 Bubble Dancer DLG by Mark Drela,500000,0.3032,6.193,1.3152,11.00,0.00506,-0.0659,0.004980,-0.2500,0.000243,7.58,2.40
ag26-il,AG26 Bubble Dancer DLG by Mark Drela,500000,0.3019,6.246,1.3351,11.00,0.00500,-0.0657,0.004880,-0.5000,0.000222,6.84,2.55
ag27-il,AG27 Bubble Dancer DLG by Mark Drela,500000,0.3004,6.282,1.3413,11.00,0.00489,-0.0657,0.004720,-0.5000,0.000226,6.11,2.70
ag35-il,AG35,500000,0.4194,6.076,1.3465,11.50,0.00668,-0.0460,0.005470,-2.2500,0.000165,8.72,4.37
ag36-il,AG36,500000,0.3964,6.026,1.2990,10.25,0.00646,-0.0449,0.005290,-2.2500,0.000199,8.18,4.09
ag37-il,AG37,500000,0.3750,6.094,1.3575,10.75,0.00632,-0.0445,0.005010,-2.0000,0.000172,7.74,3.88
ag38-il,AG38,500000,0.3353,6.237,1.3410,11.00,0.00573,-0.0454,0.005010,-1.0000,0.000227,7.04,3.53
ag44ct02r-il,AG44ct -02f,500000,0.1934,6.296,1.2926,11.50,0.00558,-0.0358,0.005290,-0.7500,0.000166,7.29,1.94
ag455ct02r-il,AG455ct -02f rot.,500000,0.1749,6.311,1.2670,11.00,0.00546,-0.0301,0.005090,-0.7500,0.000188,6.47,1.83
ag45c03-il,AG45c -03f,500000,0.0845,6.344,1.2977,12.00,0.00601,-0.0284,0.005670,0.2500,0.000151,6.93,2.58
ag45ct02r-il,AG45ct -02f,500000,0.1755,6.294,1.2679,11.25,0.00555,-0.0305,0.005250,-0.7500,0.000174,6.90,1.85
ag46c03-il,AG46c -03f,500000,0.0589,6.279,1.2120,12.00,0.00533,-0.0241,0.005210,0.2500,0.000190,6.03,2.28
ag46ct02r-il,AG46ct  -02f rot.,500000,0.1604,6.299,1.2259,10.75,0.00528,-0.0285,0.004680,-0.7500,0.000228,6.08,1.69
ag47c03-il,AG47c -03f,500000,0.0214,6.278,1.1198,11.25,0.00441,-0.0201,0.004410,0.0000,0.000338,5.06,1.96
ag47ct02r-il,AG47ct  -02f rot.,500000,0.1236,6.237,1.0876,9.75,0.00444,-0.0240,0.004280,-0.7500,0.000284,4.99,1.30
ah21-7-il,AH21 7% version (Andrew Hollom),500000,0.2871,6.180,1.3246,12.50,0.00705,-0.0758,0.005930,2.0000,0.000271,8.98,2.26
ah21-9-il,AH21 9% version (Andrew Hollom),500000,0.2151,6.358,1.0994,9.00,0.00679,-0.0649,0.005270,2.0000,0.000677,7.00,1.76
ah63k127-il,AH 63-K-127/24,500000,0.4329,5.803,1.2639,14.25,0.01086,-0.0933,0.008150,5.5000,0.000178,12.71,3.77
ah6407-il,AH-6-40-7 AIRFOIL,500000,0.6399,6.035,1.5611,12.25,0.00778,-0.1429,0.006320,0.7500,0.000283,6.85,5.53
ah7476-il,AH-7-47-6 AIRFOIL,500000,0.7881,6.176,1.6596,12.00,0.00915,-0.1967,0.007480,2.5000,0.000456,5.90,6.20
ah79100a-il,AH 79-100 A AIRFOIL,500000,0.4794,5.919,1.4359,13.00,0.00704,-0.1159,0.006840,2.7500,0.000290,10.00,3.65
ah79100b-il,AH 79-100 B AIRFOIL,500000,0.8912,5.883,1.6704,13.25,0.00813,-0.2139,0.007980,2.0000,0.000328,10.04,6.42
ah79100c-il,AH 79-100 C AIRFOIL,500000,0.8809,5.302,1.6089,17.00,0.00784,-0.2172,0.007290,0.5000,0.000240,9.94,6.70
ah79k132-il,AH 79-K-132/20,500000,0.3637,5.977,1.2043,15.75,0.01020,-0.0672,0.008350,4.7500,0.000221,13.20,3.68
ah79k135-il,AH 79-K-135/20 B,500000,0.3013,5.717,1.2081,14.75,0.01020,-0.0563,0.008180,5.0000,0.000195,13.49,3.05
ah79k143-il,AH 79-K-143/18,500000,0.2741,5.375,1.1762,15.50,0.01260,-0.0490,0.009470,5.5000,0.000140,14.27,2.87
ah80129-il,AH 80-129,500000,0.4142,6.050,1.2130,12.00,0.00825,-0.0763,0.007780,-1.2500,0.000157,12.86,4.06
ah80136-il,AH 80-136,500000,0.1453,6.755,1.2342,15.00,0.00847,0.0082,0.008400,-0.2500,0.000140,13.55,3.40
ah80140-il,AH 80-140,500000,0.3593,6.602,1.5012,11.25,0.00935,-0.0413,0.009200,0.5000,0.000062,13.96,4.36
ah81131-il,AH 81-131,500000,0.2028,6.862,1.1121,14.25,0.01056,-0.0207,0.008230,5.2500,0.000204,13.05,2.82
ah81k144-il,AH 81-K-144/17,500000,0.4011,6.370,1.3289,17.25,0.01092,-0.0774,0.009190,6.5000,0.000087,14.46,4.24
ah81k144wfklappe-il,AH 81-K-144 W-F KLAPPE,500000,0.1044,5.569,1.5577,15.00,0.01796,-0.0139,0.017070,2.0000,0.000050,22.02,1.07
ah82150a-il,AH 82-150 A,500000,0.4421,5.863,1.2852,15.25,0.01032,-0.0969,0.008440,-2.7500,0.000120,15.00,3.28
ah82150f-il,AH 82-150 F,500000,0.3517,5.097,1.0391,12.25,0.01441,-0.0735,0.009840,6.2500,0.000120,15.00,3.64
ah83150q-il,AH 83-150 Q,500000,0.3871,6.156,1.4185,18.00,0.01110,-0.0550,0.009200,-1.0000,0.000074,15.00,4.13
ah83159-il,AH 83-159,500000,0.4129,6.068,1.2444,16.25,0.01184,-0.0767,0.008900,-2.5000,0.000076,15.94,3.84
ah85l120-il,AH 85-L-120/17,500000,-0.0124,5.083,0.7217,8.75,0.00950,0.0000,0.007900,-3.5000,0.000078,12.11,0.00
ah88k130-il,AH 88-K-130/20,500000,0.5116,5.258,1.2964,13.00,0.01021,-0.1183,0.008530,4.7500,0.000251,13.00,3.94
ah88k136-il,AH 88-K-136/16,500000,0.3284,7.004,1.1331,15.50,0.01450,-0.0604,0.009290,5.2500,0.000224,13.54,3.09
ah93156-il,AH 93-156,500000,0.3758,5.483,1.2363,16.00,0.01093,-0.0660,0.009040,-2.2500,0.000061,15.66,3.74
ah93157-il,AH 93-157,500000,0.3796,5.391,1.2401,15.75,0.01047,-0.0662,0.008590,-2.2500,0.000060,15.68,3.72
ah93k130-il,AH 93-K-130/15,500000,0.3064,6.908,1.2398,16.00,0.01181,-0.0535,0.008520,5.2500,0.000205,13.05,3.58
ah93k131-il,AH 93-K-131/15,500000,0.2905,7.001,1.2278,16.00,0.01026,-0.0446,0.008600,5.2500,0.000171,13.10,3.61
ah93k132-il,AH 93-K-132/15,500000,0.3070,6.835,1.2324,15.75,0.01319,-0.0496,0.008550,5.2500,0.000206,13.23,3.52
ah93w145-il,AH 93-W-145,500000,0.4377,6.389,1.4428,11.25,0.00890,-0.0901,0.008730,-1.0000,0.000089,14.48,3.88
ah93w174-il,AH 93-W-174,500000,0.4282,6.309,1.5503,11.25,0.00984,-0.0881,0.009670,-1.2500,0.000036,17.43,3.93
ah93w215-il,AH 93-W-215,500000,0.3253,5.343,1.4045,15.50,0.01047,-0.0669,0.010400,-1.2500,0.000038,21.22,3.05
ah93w257-il,AH 93-W-257,500000,0.3440,7.100,1.5851,11.50,0.01292,-0.0993,0.012390,-3.2500,0.000030,25.67,1.79
ah93w300-il,AH 93-W-300,500000,0.3509,6.374,1.4519,16.50,0.01343,-0.0778,0.012990,-3.2500,0.000075,29.98,1.14
ah93w480b-il,AH 93-W-480B,500000,-0.3970,8.646,1.8442,15.25,0.05212,0.1604,0.051320,2.7500,0.000246,47.84,3.36
ah94145-il,AH 94-145,500000,0.6447,6.492,1.6166,9.00,0.00964,-0.1349,0.009570,-0.5000,0.000125,14.57,5.50
ah94156-il,AH 94-156,500000,0.3520,5.679,1.2422,15.75,0.01112,-0.0626,0.008750,-2.2500,0.000062,15.60,3.69
ah94w301-il,AH 94-W-301,500000,0.2408,7.101,1.5980,14.25,0.01397,-0.0869,0.013920,-2.0000,0.000031,30.10,1.38
ah95160-il,AH 95-160,500000,0.6306,6.500,1.6413,9.75,0.01015,-0.1298,0.010140,-0.2500,0.000102,16.00,5.50
ames01-il,NASA/AMES A-01 AIRFOIL,500000,0.0913,6.498,1.3616,13.75,0.00625,0.0027,0.006150,-0.2500,0.000110,10.27,1.41
ames02-il,NASA/AMES A-02 AIRFOIL,500000,0.0090,6.339,1.1659,11.50,0.00564,0.0027,0.005460,0.5000,0.000250,7.74,0.55
ames03-il,NASA/AMES A-03 AIRFOIL,500000,0.0475,6.667,1.3477,13.25,0.00715,0.0093,0.006340,1.7500,0.000195,10.00,1.21
amsoil1-il,RUTAN CANARD AIRFOIL,500000,0.2271,6.098,1.4505,15.75,0.00718,-0.0503,0.006950,2.5000,0.000250,11.62,2.08
amsoil2-il,RUTAN WING AIRFOIL,500000,0.1244,6.043,1.3760,14.75,0.00709,-0.0317,0.007050,0.5000,0.000170,11.76,0.97
apex16-il,Apex 16 (normalized using XFOIL date021206),500000,0.4029,5.175,1.2439,14.50,0.00735,-0.0952,0.007270,1.0000,0.000199,12.92,2.66
aquilasm-il,AQUILA 9.3% smoothed,500000,0.3996,6.070,1.4100,12.75,0.00922,-0.0646,0.006670,0.7500,0.000142,9.38,4.05
arad10-il,ARA-D 10% AIRFOIL,500000,0.4420,6.310,1.7681,15.75,0.00955,-0.0819,0.007440,0.7500,0.000145,10.00,3.99
arad13-il,ARA-D 13% AIRFOIL,500000,0.3493,6.574,1.7454,16.00,0.01005,-0.0516,0.008430,0.7500,0.000130,13.00,3.61
arad20-il,ARA-D 20% AIRFOIL,500000,0.3455,6.849,1.7525,15.25,0.01178,-0.0352,0.011680,-0.5000,0.000069,20.00,3.75
