slug,name,thickness_pct,camber_pct,concave,max_gap_pct,gap_x
e171-il,(Dicke 12.28%),12.25,0.00,no,0.13,0.811
joukowsk-il,12% JOUKOWSKI AIRFOIL,11.80,0.00,YES,0.39,0.860
fx74130wp2-il,74-130 WP2,12.99,3.94,YES,0.77,0.897
fx74130wp2mod-il,74-130 WP2 MOD,12.91,3.88,YES,0.74,0.897
a18-il,A18 (original),7.34,5.04,YES,2.00,0.600
a18sm-il,A18 (smoothed),7.28,3.84,YES,1.96,0.569
ag03-il,AG03 (flat aft bottom),6.24,2.02,no,0.00,0.643
ag04-il,AG04,6.42,1.75,YES,0.42,0.618
ag08-il,AG08,5.83,1.80,YES,0.52,0.546
ag09-il,AG09,4.86,1.86,YES,0.59,0.405
ag10-il,AG10,4.73,1.71,YES,0.66,0.415
ag11-il,AG11,5.81,2.29,no,0.04,0.203
ag12-il,AG12,6.24,1.85,YES,0.86,0.663
ag13-il,AG13,5.83,1.97,YES,0.93,0.638
ag14-il,AG14,5.37,2.10,YES,0.98,0.611
ag16-il,AG16,7.11,1.87,YES,0.86,0.691
ag17-il,AG17,6.49,2.02,YES,0.92,0.663
ag18-il,AG18,5.87,2.16,YES,1.00,0.636
ag19-il,AG19,5.40,2.27,YES,1.08,0.608
ag24-il,AG24 Bubble Dancer DLG by Mark Drela,8.41,2.22,YES,0.72,0.788
ag25-il,AG25 Bubble Dancer DLG by Mark Drela,7.58,2.40,YES,0.86,0.719
ag26-il,AG26 Bubble Dancer DLG by Mark Drela,6.84,2.55,YES,1.01,0.664
ag27-il,AG27 Bubble Dancer DLG by Mark Drela,6.11,2.70,YES,1.26,0.607
ag35-il,AG35,8.72,4.37,no,0.00,0.604
ag36-il,AG36,8.18,4.09,no,0.00,0.419
ag37-il,AG37,7.74,3.88,no,0.00,0.670
ag38-il,AG38,7.04,3.53,no,0.00,0.459
ag44ct02r-il,AG44ct -02f,7.29,1.94,no,0.19,0.733
ag455ct02r-il,AG455ct -02f rot.,6.47,1.83,no,0.20,0.816
ag45c03-il,AG45c -03f,6.93,2.58,no,0.22,0.788
ag45ct02r-il,AG45ct -02f,6.90,1.85,no,0.20,0.719
ag46c03-il,AG46c -03f,6.03,2.28,no,0.15,0.830
ag46ct02r-il,AG46ct  -02f rot.,6.08,1.69,no,0.17,0.830
ag47c03-il,AG47c -03f,5.06,1.96,no,0.14,0.746
ag47ct02r-il,AG47ct  -02f rot.,4.99,1.30,no,0.15,0.746
ah63k127-il,AH 63-K-127/24,12.71,3.77,YES,0.75,0.897
ah79100a-il,AH 79-100 A AIRFOIL,10.00,3.65,YES,1.89,0.721
ah79100b-il,AH 79-100 B AIRFOIL,10.04,6.42,YES,3.45,0.691
ah79100c-il,AH 79-100 C AIRFOIL,9.94,6.70,YES,3.01,0.629
ah79k132-il,AH 79-K-132/20,13.20,3.68,YES,0.49,0.916
ah79k135-il,AH 79-K-135/20 B,13.49,3.05,YES,0.47,0.916
ah79k143-il,AH 79-K-143/18,14.27,2.87,YES,0.69,0.933
ah80129-il,AH 80-129,12.86,4.06,no,0.02,0.933
ah80136-il,AH 80-136,13.55,3.40,no,0.02,0.996
ah80140-il,AH 80-140,13.96,4.36,no,0.14,0.897
